beskrivning,lat,lon
SdF,59.271014549057234,18.12568093167811
SdF,59.37012809418761,18.056876430535162
SdF,59.26693084877361,18.045433199273596
SdF,59.26026530879051,18.081647339872767
SdF,59.34379287476375,17.87758235762067
SdF,59.27092647859567,18.01756951881837
SdF,59.29511329360441,17.919998512727854
SdF,59.341809844952934,17.917546712896417
SdF,59.40605319883885,17.921702957855185
SdF,59.38715814176755,17.876474606662196
SdF,59.2971980066858,18.070716679404942
SdF,59.39676585262883,17.935162340189926
SdF,59.295148685133476,17.920585330674513
SdF,59.292377094518656,18.091209803638282
SdF,59.364253000214894,17.85924928812191
SdF,59.31128559436629,18.10678215961457
SdF,59.32296730790429,18.117167850692624
SdF,59.320814878271314,18.05951723445395
SdF,59.344056758500905,18.034795874798668
SdF,59.25089914272895,18.03919776497175
SdF,59.35546984821622,18.092425629899388
SdF,59.31229079998255,17.99747524919679
SdF,59.417618655809214,17.916477190619997
SdF,59.33101732538019,18.018169934014786
SdF,59.245544926551695,18.066596289594248
SdF,59.26565334151106,18.064131443578734
SdF,59.30173349756748,18.05139183458917
SdF,59.2811860908791,18.068480737504263
SdF,59.34191297279342,18.055808248346324
SdF,59.26576588016784,17.998774374782794
SdF,59.36300320824194,17.943906339093644
SdF,59.38875203044579,17.92297582790394
SdF,59.2782031766353,18.040020140112475
SdF,59.3156888580246,18.073634397385575
SdF,59.31407246970387,18.041391284146435
SdF,59.309798928467636,18.077951866150617
SdF,59.319389624218815,18.05068472871811
SdF,59.34448584797571,18.10325204539589
SdF,59.309296049002704,18.072911233744705
SdF,59.28942598585113,17.98503926219862
SdF,59.331937287193334,18.036312713330055
SdF,59.35014681934078,17.96960274505067
SdF,59.34820194589223,18.055651044218042
SdF,59.258255613741,18.06829852239155
SdF,59.3162021304008,18.0570577050645
SdF,59.27104757391613,17.997606867466487
SdF,59.259675650879394,18.04917204681554
SdF,59.33164981376081,18.087935113731106
SdF,59.28925980396835,18.108141598500865
SdF,59.31162091774975,18.091797610707275
SdF,59.335130479283514,18.025012995357457
SdF,59.31564901088699,18.06997688989506
SdF,59.339253855140086,18.040203458004076
SdF,59.31301154288134,18.04394589310508
SdF,59.23484646903255,18.115222260207936
SdF,59.39688497986103,17.882780291692214
SdF,59.28670699140223,17.978372154297542
SdF,59.285671063445584,18.002517815711805
SdF,59.249442724258664,18.096822382752848
SdF,59.291657983512955,17.966580549115054
SdF,59.30166259149178,18.109835861229097
SdF,59.27898739182642,18.134918782961368
SdF,59.356198381853055,17.894603128089983
SdF,59.33336557191193,18.00739880145989
SdF,59.29384469172045,18.006697441951115
SdF,59.3042156271492,18.035397456318844
SdF,59.29904471854784,18.085523356835633
SdF,59.296640576134855,17.988218897763662
SdF,59.303499889149315,18.0282133167676
SdF,59.39419948997565,17.915427353845363
SdF,59.40843334341027,17.941600004379485
SdF,59.31852438943928,18.041233467793433
SdF,59.29524900537494,18.049094939192862
SdF,59.29915547768763,18.007318182213904
SdF,59.410505808694964,17.90905733020175
SdF,59.38057786475563,17.912096434621326
SdF,59.254241634121364,18.026673719862043
SdF,59.334434201671385,18.043941607242417
SdF,59.33905934332742,18.07049992683996
SdF,59.34491209866441,18.093921782346445
SdF,59.26958569709294,18.082570544918884
SdF,59.32881798182956,17.952018214063486
SdF,59.32449738592198,18.00151693395634
SdF,59.40234933644908,17.936993967137926
SdF,59.26051761664222,18.108546851548226
SdF,59.34882889264768,18.041889308983908
SdF,59.33446643674246,17.99185065421423
SdF,59.30981413016595,18.0619749700699
