qid,label,osm_type,osm_id,website,description,opening_hours,opening_hours:note,source:opening_hours
Q134711795,Framfickans restaurang,node,863394727,https://grinda.se/mat-fest/bageri/,,,,
Q134713103,Grinda bageri,node,863394727,https://grinda.se/mat-fest/bageri/,,,,
Q134776776,Nåttarö nya gästhamn,node,12899347960,https://nattaro.se/gasthamn/,,,,
Q134881286,Hammerska ladan,way,388325539,https://hammerskaladan.se/,,,,
Q134889150,Norrötorpet,way,290833701,https://skargardsstiftelsen.se/boka-boende/,,,,
Q134889482,"Fjärdlång, Sjunkviken naturhamn",node,12912861744,https://www.explorearchipelago.com/sv/sthlm/sodra-skargarden/fjardlang,,,,
Q134889616,"Fjärdlång, Mörkviken naturhamn",node,12912946927,https://www.explorearchipelago.com/sv/sthlm/sodra-skargarden/fjardlang,,,,
Q134889928,"Fjärdlång, gästhamn",node,12913032579,https://www.explorearchipelago.com/sv/sthlm/sodra-skargarden/fjardlang,,,,
Q134895185,Bryggans lilla kök,way,1395293068,https://www.brygganscafe.se/,,,,
Q134985579,Ålö brygga dricksvatten,node,5728811330,,fungerar 20250804 egen test,,,
Q134987122,Nåttarö vandrarhem dricksvatten,node,4879006116,,sitter skylt ”pga Vattenbrist är vattnet missfärgat. Går bra att diska och tvätta sig. Drick ej”,,,
Q135003463,Svedtiljas restaurang,way,383557275,https://www.g-mo.se/restaurang-svedtiljas/,,,,
Q135010859,Hjärtstarare västra hamnen Landsort,node,12804831701,,,24/7,,
Q135027143,Cykel i Västerhamn,node,12946707428,https://visitlandsort.se/slappna-av-ma-bra/vandra-cykla-motionera/cykel-i-vasterhamn/,,,,
Q135027417,museet på Landsort,way,1408810518,https://visitlandsort.se/maritima-kulturarvet/skargardssamhallet-landsort/museum/,,,,
Q135035871,Fjärdlång tältplats dricksvatten,node,2943477517,,Ej på 2025 juni verkar inte sättas på 2025,,,
Q135045291,Vandringsskylt SAT Landsort,node,12944833081,https://stockholmarchipelagotrail.com/section/section-landsort,,,,
Q135045359,Vandringsskylt SAT Nåttarö,node,12837567381,https://stockholmarchipelagotrail.com/section/section-nattaro/,,,,
Q133864761,Knicksand grillplats,node,12722761765,https://grillplatser.nu/Grillplats/Visa/Knicksand-Rano-1,2 bord med bänkar,,,
Q133864801,Knicksand grillplats,node,12722789034,https://grillplatser.nu/Grillplats/Visa/Knicksand-Rano,2 bord med bänkar,,,
Q133872120,Lidö Österhamn grillplats,node,12755413219,https://grillplatser.nu/Grillplats/Visa/Osterhamn-Lido,,,,
Q133884655,Roddbåtar att korsa mellan Ingmarsö till Finnhamn,way,39504808,,,24/7,,
Q133993440,"Fjärdlång bryggan, grillplats",node,12770512759,https://grillplatser.nu/Grillplats/Visa/Fjardlang-brygga,,,,
Q133993942,Fjärdlång tältplats,node,2550378999,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/fjardlang.html,Looks like no dringing water 2025,,,
Q134005778,"Thielska villan, grillplats, Fjärdlång",node,12771043917,https://grillplatser.nu/Grillplats/Visa/Thielska-villan,,,,
Q134006267,"Fjärdlång tältplats, grillplats",node,12769968654,https://grillplatser.nu/Grillplats/Visa/Fjardlangen-1,,,,
Q134082735,Östemar grillplats nya,node,12748135194,https://grillplatser.nu/Grillplats/Visa/Ostermar-2,,,,
Q134083897,Nåttarö tältplats,relation,11478821,https://nattaro.se/boende/,,,,
Q134310117,Grinda Lanthandel och Cafe,way,247542038,https://grinda.se/mat-fest/lanthandel-cafe/,,Apr 30-Sep 07 Mo-Su 08:00-19:30,,=https://grinda.se/mat-fest/lanthandel-cafe/
Q134311974,Runmarö lanthandel,way,495386320,https://www.runmarolanthandel.se/,,"Mo-Fr 10:00-18:30; Sa,Su 11:00-14:30",,
Q134312278,Utö livs,way,229110286,https://www.ica.se/butiker/nara/haninge/uto-livs-1003851/,,Sep 1-Apr 30: Mo 10:00-17:00; Tu off; We 10:00-17:00; Th off; Fr 10:00-17:00; Sa 10:00-14:00; Su off; May 1-Aug 31: Mo-Su 08:00-18:00,,https://www.ica.se/butiker/nara/haninge/uto-livs-1003851/
Q134366690,Lidö tältplats,node,5670064974,https://lidovardshus.com/gsthamnen,,,,
Q134366761,Arholma tältplats,node,2960935621,https://arholma.nu/besok-arholma/hitta-boende/,,,,
Q134369828,Nämdö tältplats,node,12813901080,https://www.namdo.nu/portal/att_resa/att_resa.shtml#sleep,,,,
Q134373707,Yxlö brygga grillplats,node,12814390356,https://grillplatser.nu/Grillplats/Visa/Yxlo-brygga,,,,
Q134442339,Utö gula villan,way,322949084,https://gulavillanuto.se/,,,,
Q134443760,"Källarstugan, Arholma",way,465662338,https://www.arholma.nu/hitta-boende/kallarstugan,,,,
Q134445091,Aktiv Skärgård Utö,way,229605231,https://www.aktivskargard.se/,,24/7,,
Q134452061,Rånö tältplats,node,5798509129,https://www.visitskargarden.se/boende/camping/raanoe-camping.aspx,,,,
Q134461524,Idholmens grillplats,node,11148400849,https://grillplatser.nu/Grillplats/Visa/Idholmen,,,,
Q134461930,Finnhamns Krog,node,268910309,https://www.facebook.com/finnhamnskrog,,Jun 1-15: Mo-Fr 12:00-21:00; Sa 12:00-23:00; Su 12:00-21:00; ,,https://finnhamn.se/ata/
Q134463083,Finnhamn södra tältplats,way,1416109773,https://finnhamn.se/boende/,När du har betalt din tältavgift om 120 kr kan du duscha i stugbyn.,,,
Q134510130,Landsort vandrarhemmet,way,1178578023,https://www.landsortsvandrarhem.se/,,,,
Q135045488,Vandringsskylt SAT Nåttarö,node,12837532532,https://stockholmarchipelagotrail.com/section/section-nattaro/,,,,
Q135045682,Vandringsskylt SAT Nåttarö,node,12837227282,https://stockholmarchipelagotrail.com/section/section-nattaro/,,,,
Q135046168,Vandringsskylt SAT Nåttarö,node,12838471017,https://stockholmarchipelagotrail.com/section/section-nattaro/,,,,
Q135046665,Vandringsskylt SAT Rånö,node,12759101764,https://stockholmarchipelagotrail.com/section/section-rano,,,,
Q135048658,Vandringsskylt SAT Ålö,node,12838455374,https://stockholmarchipelagotrail.com/section/section-alo/,,,,
Q135048975,Vandringsskylt SAT Ålö,node,12759188938,https://stockholmarchipelagotrail.com/section/section-alo/,,,,
Q135048998,Vandringsskylt SAT Ålö Utö,node,12759181942,https://stockholmarchipelagotrail.com/section/section-alo/,,,,
Q135049010,Vandringsskylt SAT Utö Ålö,node,12829605557,https://stockholmarchipelagotrail.com/section/uto/,,,,
Q135050059,Vandringsskylt SAT Utö,node,12759136097,https://stockholmarchipelagotrail.com/section/uto,,,,
