title,lat,lon,pageid,url
File:Tessinparkenshundrastgård 02.jpg,59.344964,18.093911,176740417,https://commons.wikimedia.org/wiki/File:Tessinparkenshundrastgård_02.jpg
File:Vasaparkens hundrastgård 01.jpg,59.339414,18.040178,176733211,https://commons.wikimedia.org/wiki/File:Vasaparkens_hundrastgård_01.jpg
File:Kronobergsparkens hundrastgård 04.jpg,59.332122,18.036422,177211699,https://commons.wikimedia.org/wiki/File:Kronobergsparkens_hundrastgård_04.jpg
File:Kontorsparkens Hundrastgård 05.jpg,59.357175,18.088553,176749163,https://commons.wikimedia.org/wiki/File:Kontorsparkens_Hundrastgård_05.jpg
File:Bromstens Hundpark 2025 nov - 8.jpg,59.380478,17.912564,178578065,https://commons.wikimedia.org/wiki/File:Bromstens_Hundpark_2025_nov_-_8.jpg
File:Kontorsparkens Hundrastgård 09.jpg,59.357133,18.088636,176749171,https://commons.wikimedia.org/wiki/File:Kontorsparkens_Hundrastgård_09.jpg
File:Kronobergsparkens hundrastgård 07.jpg,59.332006,18.036578,177211704,https://commons.wikimedia.org/wiki/File:Kronobergsparkens_hundrastgård_07.jpg
File:Fatbursparkens hundrastgård 05.jpg,59.315506,18.069928,177197126,https://commons.wikimedia.org/wiki/File:Fatbursparkens_hundrastgård_05.jpg
File:Kvarnens hundrastgård 01.jpg,59.402206,17.937064,176552287,https://commons.wikimedia.org/wiki/File:Kvarnens_hundrastgård_01.jpg
File:Bellevueparkens Hundrastområde 08.jpg,59.3549,18.047669,178335484,https://commons.wikimedia.org/wiki/File:Bellevueparkens_Hundrastområde_08.jpg
File:Årvinge hundrastgård 05.jpg,59.396872,17.935114,176551833,https://commons.wikimedia.org/wiki/File:Årvinge_hundrastgård_05.jpg
File:Strandvägens hundrastgård 06.jpg,59.331689,18.088189,178142503,https://commons.wikimedia.org/wiki/File:Strandvägens_hundrastgård_06.jpg
File:Snapphanevägens hundrastgård 03.jpg,59.412967,17.852369,177391684,https://commons.wikimedia.org/wiki/File:Snapphanevägens_hundrastgård_03.jpg
File:Västra Hjorthagsparkens hundrastgård 06.jpg,59.355031,18.092758,176750909,https://commons.wikimedia.org/wiki/File:Västra_Hjorthagsparkens_hundrastgård_06.jpg
File:Sankt Göransparkens hundrastgård 06.jpg,59.335053,18.024792,177265496,https://commons.wikimedia.org/wiki/File:Sankt_Göransparkens_hundrastgård_06.jpg
File:Hundrastgård Tureberg 05.jpg,59.42585,17.941672,177300071,https://commons.wikimedia.org/wiki/File:Hundrastgård_Tureberg_05.jpg
File:Kampementsbackens hundrastgård 03.jpg,59.344758,18.103361,176742027,https://commons.wikimedia.org/wiki/File:Kampementsbackens_hundrastgård_03.jpg
File:Oxtungans hundgård Hässelby 05.jpg,59.369889,17.818139,176434859,https://commons.wikimedia.org/wiki/File:Oxtungans_hundgård_Hässelby_05.jpg
File:Årvinge hundrastgård 03.jpg,59.396917,17.935653,176551826,https://commons.wikimedia.org/wiki/File:Årvinge_hundrastgård_03.jpg
File:Monteliusvägens hundrastgård 06.jpg,59.320806,18.059775,177197335,https://commons.wikimedia.org/wiki/File:Monteliusvägens_hundrastgård_06.jpg
File:Kampementsbackens hundrastgård 13.jpg,59.344386,18.103167,176742038,https://commons.wikimedia.org/wiki/File:Kampementsbackens_hundrastgård_13.jpg
File:Kontorsparkens Hundrastgård 06.jpg,59.357169,18.088567,176749165,https://commons.wikimedia.org/wiki/File:Kontorsparkens_Hundrastgård_06.jpg
File:Genarp Hundrastgård pipe.jpg,55.60083333,13.39388889,143863371,https://commons.wikimedia.org/wiki/File:Genarp_Hundrastgård_pipe.jpg
File:Älvsborgsgatans hundrastplsts 03.jpg,59.309094,18.072944,177174598,https://commons.wikimedia.org/wiki/File:Älvsborgsgatans_hundrastplsts_03.jpg
File:Wollmar Yxkullsgatans hundrastgård 05.jpg,59.316228,18.057444,177197896,https://commons.wikimedia.org/wiki/File:Wollmar_Yxkullsgatans_hundrastgård_05.jpg
